Default Dataset,
X,Y
0.36130564745309,11.932636132248408
1.4219293776814812,11.742097142178908
2.4825531079098706,11.529402455589699
3.543176838138262,11.312276629696548
4.603800568366651,11.074472153718334
5.487653676890311,10.880979070779539
6.5482774071187,10.660899152017093
7.608901137347091,10.434911047516056
8.581139556723114,10.2207393144922
9.7680280167406,9.95318290318752
10.79077232803226,9.741437746449154
11.851396058260653,9.464491539952789
12.912019788489042,9.207485460324161
13.972643518717431,8.975589170084536
15.045893721924733,8.651693987629738
16.093890979174212,8.414311524918565
17.154514709402605,8.099700634338694
18.126753128778624,7.852265815606579
19.09899154815465,7.532514803434134
19.98284465667831,7.204610494942436
20.778312454349603,6.946718187453019
21.573780252020896,6.606406688910283
22.280862738839822,6.294011367982382
23.076330536511115,5.9603465783955585
23.871798334182408,5.556226673876061
24.73797438053559,5.247819378321706
24.98545325092222,4.941539029633246
25.49219569980911,4.6463660701333325
26.258201727196287,4.342094504595989
26.876898903162846,3.9543698155010762
27.583981389981773,3.53562715127857
28.202678565948332,3.1899982855711038
28.697636306721584,2.89754309151094
29.17491698532436,2.5519142258034755
29.793614161290918,2.2417344745275454
30.19766129661602,1.8682527331953018
30.765852580666945,1.5150276286810787
31.435055648549138,1.013675867435083
32.09163224345243,0.6841890091919787
32.53355879771426,0.3053265987049478
32.88710004112372,0.02838039220858235
